detectorType,descriptorType,imageIndex,TTC Lidar,TTC Camera
SHITOMASI,BRISK,1,12.5156,-0.838967
SHITOMASI,BRISK,2,12.6142,-46.6734
SHITOMASI,BRISK,3,14.091,-1.33021
SHITOMASI,BRISK,4,16.6894,-0.322125
SHITOMASI,BRISK,5,15.7465,-2.39595
SHITOMASI,BRISK,6,12.7835,-10.6638
SHITOMASI,BRISK,7,11.9844,-inf
SHITOMASI,BRISK,8,13.1241,-1.09513
SHITOMASI,BRISK,9,13.0241,18.3625
SHITOMASI,BRISK,10,11.1746,-1.50602
SHITOMASI,BRISK,11,12.8086,-1.12676
SHITOMASI,BRISK,12,8.95978,50.0091
SHITOMASI,BRISK,13,9.96439,-0.862186
SHITOMASI,BRISK,14,9.59863,24.4198
SHITOMASI,BRISK,15,8.52157,14.5119
SHITOMASI,BRISK,16,9.51552,-0.241648
SHITOMASI,BRISK,17,9.61241,-inf
SHITOMASI,BRISK,18,8.3988,12.3812
SHITOMASI,BRIEF,1,12.5156,20.7189
SHITOMASI,BRIEF,2,12.6142,48.8047
SHITOMASI,BRIEF,3,14.091,11.1762
SHITOMASI,BRIEF,4,16.6894,22.1669
SHITOMASI,BRIEF,5,15.7465,12.8552
SHITOMASI,BRIEF,6,12.7835,13.2198
SHITOMASI,BRIEF,7,11.9844,34.7957
SHITOMASI,BRIEF,8,13.1241,14.2388
SHITOMASI,BRIEF,9,13.0241,12.6708
SHITOMASI,BRIEF,10,11.1746,16.9761
SHITOMASI,BRIEF,11,12.8086,11.7992
SHITOMASI,BRIEF,12,8.95978,13.677
SHITOMASI,BRIEF,13,9.96439,12.4508
SHITOMASI,BRIEF,14,9.59863,11.946
SHITOMASI,BRIEF,15,8.52157,15.3181
SHITOMASI,BRIEF,16,9.51552,11.5882
SHITOMASI,BRIEF,17,9.61241,11.1687
SHITOMASI,BRIEF,18,8.3988,10.1394
SHITOMASI,ORB,1,12.5156,15.1671
SHITOMASI,ORB,2,12.6142,12.6378
SHITOMASI,ORB,3,14.091,13.8318
SHITOMASI,ORB,4,16.6894,17.9043
SHITOMASI,ORB,5,15.7465,12.8561
SHITOMASI,ORB,6,12.7835,19.1734
SHITOMASI,ORB,7,11.9844,20.1987
SHITOMASI,ORB,8,13.1241,13.5169
SHITOMASI,ORB,9,13.0241,12.4803
SHITOMASI,ORB,10,11.1746,17.7603
SHITOMASI,ORB,11,12.8086,12.2782
SHITOMASI,ORB,12,8.95978,11.7604
SHITOMASI,ORB,13,9.96439,11.5008
SHITOMASI,ORB,14,9.59863,13.2389
SHITOMASI,ORB,15,8.52157,12.5033
SHITOMASI,ORB,16,9.51552,11.7977
SHITOMASI,ORB,17,9.61241,10.062
SHITOMASI,ORB,18,8.3988,8.28579
SHITOMASI,FREAK,1,12.5156,-0.690379
SHITOMASI,FREAK,2,12.6142,-1.92935
SHITOMASI,FREAK,3,14.091,31.5217
SHITOMASI,FREAK,4,16.6894,-inf
SHITOMASI,FREAK,5,15.7465,294.294
SHITOMASI,FREAK,6,12.7835,-inf
SHITOMASI,FREAK,7,11.9844,-inf
SHITOMASI,FREAK,8,13.1241,-inf
SHITOMASI,FREAK,9,13.0241,-inf
SHITOMASI,FREAK,10,11.1746,-10.1637
SHITOMASI,FREAK,11,12.8086,13.7312
SHITOMASI,FREAK,12,8.95978,-1.28216
SHITOMASI,FREAK,13,9.96439,15.2312
SHITOMASI,FREAK,14,9.59863,54.8363
SHITOMASI,FREAK,15,8.52157,-1.22774
SHITOMASI,FREAK,16,9.51552,14.9962
SHITOMASI,FREAK,17,9.61241,14.6962
